,Date,Price
690,2012-06-05,5.46
691,2012-06-06,5.59
692,2012-06-07,5.63
693,2012-06-08,5.56
694,2012-06-09,5.47
695,2012-06-10,5.57
696,2012-06-11,5.7
697,2012-06-12,5.93
698,2012-06-13,5.95
699,2012-06-14,6.5
700,2012-06-15,6.4
701,2012-06-16,6.16
702,2012-06-17,6.31
703,2012-06-18,6.5
704,2012-06-19,6.67
705,2012-06-20,6.68
706,2012-06-21,6.55
707,2012-06-22,6.43
708,2012-06-23,6.35
709,2012-06-24,6.3
710,2012-06-25,6.42
711,2012-06-26,6.65
712,2012-06-27,6.61
713,2012-06-28,6.65
714,2012-06-29,6.69
715,2012-06-30,6.63
716,2012-07-01,6.76
717,2012-07-02,6.45
718,2012-07-03,6.51
719,2012-07-04,6.67
720,2012-07-05,6.65
721,2012-07-06,6.76
722,2012-07-07,6.8
723,2012-07-08,7.02
724,2012-07-09,7.2
725,2012-07-10,7.15
726,2012-07-11,7.76
727,2012-07-12,7.67
728,2012-07-13,7.54
729,2012-07-14,7.62
730,2012-07-15,8.5
731,2012-07-16,8.8
732,2012-07-17,9.11
733,2012-07-18,8.87
734,2012-07-19,8.52
735,2012-07-20,8.85
736,2012-07-21,8.41
737,2012-07-22,8.45
738,2012-07-23,8.6
739,2012-07-24,8.8
740,2012-07-25,8.9
741,2012-07-26,8.9
742,2012-07-27,8.89
743,2012-07-28,8.71
744,2012-07-29,9.1
745,2012-07-30,9.35
746,2012-07-31,9.55
747,2012-08-01,10.53
748,2012-08-02,10.97
749,2012-08-03,10.98
750,2012-08-04,10.87
751,2012-08-05,10.86
752,2012-08-06,11.1
753,2012-08-07,11.06
754,2012-08-08,11.06
755,2012-08-09,11.39
756,2012-08-10,11.51
757,2012-08-11,11.62
758,2012-08-12,12.04
759,2012-08-13,12.19
760,2012-08-14,13.25
761,2012-08-15,13.5
762,2012-08-16,11.58
763,2012-08-17,11.61
764,2012-08-18,8.0
765,2012-08-19,10.1
766,2012-08-20,9.92
767,2012-08-21,9.81
768,2012-08-22,10.1
769,2012-08-23,10.6
770,2012-08-24,10.52
771,2012-08-25,10.61
772,2012-08-26,10.95
773,2012-08-27,10.94
774,2012-08-28,10.92
775,2012-08-29,10.78
776,2012-08-30,10.16
777,2012-08-31,9.97
778,2012-09-01,10.2
779,2012-09-02,10.53
780,2012-09-03,10.38
781,2012-09-04,11.0
782,2012-09-05,11.18
783,2012-09-06,11.0
784,2012-09-07,11.04
785,2012-09-08,11.02
786,2012-09-09,11.17
787,2012-09-10,11.33
788,2012-09-11,11.36
789,2012-09-12,11.4
790,2012-09-13,11.67
791,2012-09-14,11.75
792,2012-09-15,11.87
793,2012-09-16,11.89
794,2012-09-17,12.25
795,2012-09-18,12.57
796,2012-09-19,12.28
797,2012-09-20,12.37
798,2012-09-21,12.24
799,2012-09-22,12.19
800,2012-09-23,12.1
801,2012-09-24,12.2
802,2012-09-25,12.27
803,2012-09-26,12.31
804,2012-09-27,12.39
805,2012-09-28,12.36
806,2012-09-29,12.4
807,2012-09-30,12.4
808,2012-10-01,12.84
809,2012-10-02,12.89
810,2012-10-03,12.85
811,2012-10-04,12.69
812,2012-10-05,12.51
813,2012-10-06,11.8
814,2012-10-07,11.78
815,2012-10-08,11.9
816,2012-10-09,12.12
817,2012-10-10,12.03
818,2012-10-11,12.0
819,2012-10-12,11.86
820,2012-10-13,11.74
821,2012-10-14,11.84
822,2012-10-15,11.85
823,2012-10-16,11.81
824,2012-10-17,11.94
825,2012-10-18,11.74
826,2012-10-19,11.74
827,2012-10-20,11.63
828,2012-10-21,11.71
829,2012-10-22,11.65
830,2012-10-23,11.65
831,2012-10-24,10.86
832,2012-10-25,10.17
833,2012-10-26,10.26
834,2012-10-27,10.7
835,2012-10-29,10.6
836,2012-10-30,10.89
837,2012-10-31,11.2
838,2012-11-01,10.57
839,2012-11-02,10.47
840,2012-11-03,10.64
841,2012-11-04,10.8
842,2012-11-05,10.75
843,2012-11-06,10.9
844,2012-11-07,10.92
845,2012-11-08,10.93
846,2012-11-09,10.82
847,2012-11-10,10.89
848,2012-11-11,10.87
849,2012-11-12,11.01
850,2012-11-13,10.95
851,2012-11-14,10.95
852,2012-11-15,11.2
853,2012-11-16,11.75
